頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
雅漾茿奈 yayang ch,UCM2zXSgojFFPlKIZo5kjA8w,https://www.youtube.com/@yayangch7627,2021-06-06,2,179,4,
Awu Ch. 路人戊_阿戊,UCQ2eH4bhU9DD1fq0dGXVuYQ,https://www.youtube.com/@awuch._4342,2021-05-27,143,628,5,
在下凌霍峰大師兄蕭世高,UCgCToO4wxMsk0jetkqzgUaw,https://www.youtube.com/@user-oi7wu8lx4p,2020-09-09,1,11,6,
阿維薩-瑪儂 Aveza-Manon Ch.,UCiDLif31Tc6QUyvLhZ2hJUw,https://www.youtube.com/@aveza-manon_ch.,2022-09-24,9,110,7,
翎雲-Ling Yun 台灣新人Vtuber ,UCEDI13I_OOYNCYUhK2RdS4g,https://www.youtube.com/@-lingyunvtuber207,2022-04-24,4,90,7,
Rinna Fox | 粉紅狐 Vtuber,UC_ILDd9hmRgR_7Kedxo1UVA,https://www.youtube.com/@rinnafoxvtuber5987,2022-07-21,10,168,7,
陌炎貓MoYanCat,UCXCC-2Pwqb68IO1MIEM7hMA,https://www.youtube.com/@moyancat4994,2022-01-25,5,165,8,Epoch Studio
可樂餅 Cola ch. / HKVtuber,UCOJNh1iipyvpCRq9v4TxiPA,https://www.youtube.com/@colach.hkvtuber8932,2021-12-14,1,167,9,
Ariel Ch. 爱利亚,UCrF3f8fkJHkD5a6e4UVl-ZQ,https://www.youtube.com/@arielch.3711,2021-09-17,7,199,9,
Phys,UCda1L8TdCLHa_Mti34cQjAg,https://www.youtube.com/@phys4006,2021-10-23,110,658,11,
喵晶院夢炎,UCmFvaT_RTxD-W9U70SipbSw,https://www.youtube.com/@yumenohi0602,2022-02-19,8,480,12,
Alchemy Boy,UCICm2nmmx3JABAvwSkkRNew,https://www.youtube.com/@alchemyboy7699,2019-10-26,1,5,13,
水見,UCEHW4RX48lM13pNzOVGLmkA,https://www.youtube.com/@minamiiim_soda,2021-08-16,1,44,13,
蜜柑醬,UClEOwU5kYzJbB9jfzcIO1cw,https://www.youtube.com/@user-zb1ns2cx6c,2021-12-02,27,420,13,
hiyori ch.月宫 ひより,UCmjzgsyPImGeRxfShphgNlg,https://www.youtube.com/@hiyorich.7617,2022-08-24,67,603,13,
憨吉hanji,UCqiDlnk9CYklCv-M6Q23fLw,https://www.youtube.com/@hanji8735,2021-05-30,4,363,14,
小月月不是小玥玥,UCbgh6CCDcoq-GzAg0VG1qqA,https://www.youtube.com/@smallmoonmoon,2021-08-11,10,205,14,
Machaka Ch.瑪洽卡,UCVJXNkL3fsI81CGb_YQVIEw,https://www.youtube.com/@machakach.4630,2021-07-14,8,737,16,
Rinrixue's twitch vod,UCsli7BbJkC75xne8BBHpS1Q,https://www.youtube.com/@rinrixuestwitchvod1800,2020-12-20,18,33,16,
Lynx琳&Plumeria梔梔,UCyEir3V8YL5v-hUTeJtNC6Q,https://www.youtube.com/@lynxplumeria1725,2022-03-16,18,386,16,
米洛法Milofa,UCsEL2bjfLoXoMK_7A6T0j9Q,https://www.youtube.com/@milofavt,2022-08-10,21,619,16,
沈梅Shenmei @v準備中,UCW9cx5JmIcjDO2INhbhz6bw,https://www.youtube.com/@shenmeiv9039,2022-10-15,3,121,18,
金水旺 Kim Suí-ōng,UCgtoG5ESLtCgvmKLgpNvhTw,https://www.youtube.com/@kimsui-ong3562,2022-02-09,3,52,18,
嘎喵喵喵VOD,UCHCcbYsgoHYPQCTOk7Nn-qg,https://www.youtube.com/@lupulu_0524,2013-11-17,71,260,19,
我的朋友《My Friends》,UC2eOvldK4b7f6CIXAny7oHw,https://www.youtube.com/@myfriends5661,2021-08-02,3,568,20,My Friends
埃塞爾伯特•伊斯頓 Ethelbert•Easton,UCpV7HKGPhMxxO-lpSjsIeWg,https://www.youtube.com/@ethelberteaston7814,2022-02-07,5,319,20,
パシルCHクラ・パシル,UCPC76zynofQg0DCydO7j6Ww,https://www.youtube.com/@ch-mq8hr,2021-02-13,18,432,20,
宇岐Uki Ch.,UCXi8Sqg59-vV2OKtHdtO-dQ,https://www.youtube.com/@ukich.,2022-05-26,20,394,20,
【Official】 E.M project,UCasD-YZ1uH06AFXs1tDyXrQ,https://www.youtube.com/@officiale.mproject4288,2019-08-26,1,257,21,E.M Team
百參 BaiSan,UCl41ACrposzNNL7tgZdy2Tw,https://www.youtube.com/@baisan5632,2022-02-28,18,193,21,
MuLin Makisho Ch.,UCdqisHJyNPfaDDOkaOy4RDw,https://www.youtube.com/@makishomulin,2022-03-18,3,680,23,
Sakumiii 桜祀,UC9MnaLhuAiXXOna1M6J7Pew,https://www.youtube.com/@sakumiii2031,2021-01-03,102,3162,22,
這是希米,UCZh1JJ_SgkIblVriZz3pUNg,https://www.youtube.com/@iamhimmi0111,2022-08-30,3,113,23,
墨雪道恩,UCSk-4mdXj3_PNLQfymWzeSw,https://www.youtube.com/@user-qf8jm3cz5o,2022-05-08,4,294,23,
朝日熊Asahi Bear ch.,UCA7WnyDeS_jhzU2EGYyTEvA,https://www.youtube.com/@asahibear4314,2022-12-14,4,148,23,
宮井莫妍Gong Jingmoyan.,UCZWOFO3KtFnhrBMQI8y07TQ,https://www.youtube.com/@gongjingmoyan.4951,2021-08-25,4,243,24,
洛歐Lowo Ch.,UC5Lp0P4WVrdlf0WNe-hs-8g,https://www.youtube.com/@lowovtuber,2022-09-05,2,86,25,
Cou ch. 火神 紅,UCDwhatFL0lGNKGc0NRgMq2Q,https://www.youtube.com/@kagamicou,2021-11-15,13,907,25,
Gray Ch.燐灰,UCYFMzFjRpnwMFEuYK4afiIg,https://www.youtube.com/@gray_ouo,2022-05-12,22,364,25,
端木望風,UCqNUafRYPQR476OQUXdKDig,https://www.youtube.com/@user-ur1ht4yi8v,2021-02-06,117,2391,25,
