頻道名稱,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
雅漾茿奈 yayang ch,https://www.youtube.com/@yayangch7627,2021-06-06,2,179,4,
Awu Ch. 路人戊_阿戊,https://www.youtube.com/@awuch._4342,2021-05-27,143,626,5,
在下凌霍峰大師兄蕭世高,https://www.youtube.com/@user-oi7wu8lx4p,2020-09-09,1,10,6,
阿維薩-瑪儂 Aveza-Manon Ch.,https://www.youtube.com/@aveza-manon_ch.,2022-09-24,5,93,6,
翎雲-Ling Yun 台灣新人Vtuber ,https://www.youtube.com/@-lingyunvtuber207,2022-04-24,4,90,7,
Rinna Fox | 粉紅狐 Vtuber,https://www.youtube.com/@rinnafoxvtuber5987,2022-07-21,10,168,7,
陌炎貓MoYanCat,https://www.youtube.com/@moyancat4994,2022-01-25,5,165,8,Epoch Studio
可樂餅 Cola ch. / HKVtuber,https://www.youtube.com/@colach.hkvtuber8932,2021-12-14,1,167,9,
Ariel Ch. 爱利亚,https://www.youtube.com/@arielch.3711,2021-09-17,7,199,9,
Phys,https://www.youtube.com/@phys4006,2021-10-23,110,658,11,
喵晶院夢炎,https://www.youtube.com/@yumenohi0602,2022-02-19,8,480,12,
Alchemy Boy,https://www.youtube.com/@alchemyboy7699,2019-10-26,1,5,13,
水見,https://www.youtube.com/@minamiiim_soda,2021-08-16,1,43,13,
蜜柑醬,https://www.youtube.com/@user-zb1ns2cx6c,2021-12-02,27,420,13,
hiyori ch.月宫 ひより,https://www.youtube.com/@hiyorich.7617,2022-08-24,65,595,13,
憨吉hanji,https://www.youtube.com/@hanji8735,2021-05-30,4,363,14,
小月月不是小玥玥,https://www.youtube.com/@smallmoonmoon,2021-08-11,10,205,14,
Machaka Ch.瑪洽卡,https://www.youtube.com/@machakach.4630,2021-07-14,8,737,16,
Rinrixue's twitch vod,https://www.youtube.com/@rinrixuestwitchvod1800,2020-12-20,18,33,16,
Lynx琳&Plumeria梔梔,https://www.youtube.com/@lynxplumeria1725,2022-03-16,18,386,16,
米洛法Milofa,https://www.youtube.com/@milofavt,2022-08-10,21,619,16,
沈梅Shenmei @v準備中,https://www.youtube.com/@shenmeiv9039,2022-10-15,3,108,17,
金水旺 Kim Suí-ōng,https://www.youtube.com/@kimsui-ong3562,2022-02-09,3,52,18,
嘎喵喵喵VOD,https://www.youtube.com/@lupulu_0524,2013-11-17,66,247,18,
我的朋友《My Friends》,https://www.youtube.com/@myfriends5661,2021-08-02,3,566,20,My Friends
埃塞爾伯特•伊斯頓 Ethelbert•Easton,https://www.youtube.com/@ethelberteaston7814,2022-02-07,5,319,20,
パシルCHクラ・パシル,https://www.youtube.com/@ch-mq8hr,2021-02-13,18,432,20,
宇岐Uki Ch.,https://www.youtube.com/@ukich.,2022-05-26,20,392,20,
【Official】 E.M project,https://www.youtube.com/@officiale.mproject4288,2019-08-26,1,257,21,E.M Team
百參 BaiSan,https://www.youtube.com/@baisan5632,2022-02-28,18,190,21,
MuLin Makisho Ch.,https://www.youtube.com/@makishomulin,2022-03-18,3,661,22,
Sakumiii 桜祀,https://www.youtube.com/@sakumiii2031,2021-01-03,102,3157,22,
這是希米,https://www.youtube.com/@iamhimmi0111,2022-08-30,3,110,23,
墨雪道恩,https://www.youtube.com/@user-qf8jm3cz5o,2022-05-08,4,294,23,
朝日熊Asahi Bear ch.,https://www.youtube.com/@asahibear4314,2022-12-14,4,143,23,
宮井莫妍Gong Jingmoyan.,https://www.youtube.com/@gongjingmoyan.4951,2021-08-25,4,243,24,
洛歐Lowo Ch.,https://www.youtube.com/@lowovtuber,2022-09-05,2,84,25,
Cou ch. 火神 紅,https://www.youtube.com/@kagamicou,2021-11-15,13,907,25,
Gray Ch.燐灰,https://www.youtube.com/@gray_ouo,2022-05-12,22,363,25,
端木望風,https://www.youtube.com/@user-ur1ht4yi8v,2021-02-06,117,2390,25,
SHINTOKIチャンネル,https://www.youtube.com/@shintoki_vt,2021-04-21,60,3761,26,
希里是隻羊 Ch.,https://www.youtube.com/@siri_is_a_sheep1213,2022-09-02,81,856,26,
That Must Golive,https://www.youtube.com/@thatmustgolive561,2021-02-03,12,919,27,That Must Golive
猫屋田幽霊,https://www.youtube.com/@user-rc2du4cv3i,2012-07-04,30,239,27,
PERISTI,https://www.youtube.com/@peristi1508,2022-01-26,3,441,28,PERISTI
玉央草屋,https://www.youtube.com/@user-un2hy4ju6d,2021-05-04,3,83,28,
玉子將軍 - (玉子しょうぐん),https://www.youtube.com/@user-ch5qh5de7g,2012-10-16,4,169,28,
安醬,https://www.youtube.com/@estateangela,2012-08-02,73,1214,28,
Akabane Aka,https://www.youtube.com/@akabaneaka8795,2022-08-05,7,202,30,
星空 玖実,https://www.youtube.com/@user-cd9hv5fy7i,2013-01-13,15,255,30,
弄臣‧茨巴薩 Ch.,https://www.youtube.com/@tsubasavt,2021-05-02,27,1219,30,
琲世佐.vt.channel,https://www.youtube.com/@vtchannel-gb7yb,2021-07-10,9,398,31,
杜桑 Ch.萬事屋老闆,https://www.youtube.com/@doson0606,2022-06-08,3,33,32,孤島植物園
